playlist_name,playlist_id,playlist_uri,owner,tracks_count
Top Tracks in Workout,7s0efM9c1ZS427tw2B6wEF,spotify:playlist:7s0efM9c1ZS427tw2B6wEF,Spotify,25
Spotify House Thursday,6NjugpbMNtXAtbv3NIbb3j,spotify:playlist:6NjugpbMNtXAtbv3NIbb3j,Spotify,20
Walter - Dangerous,53yqWl4VM0iD34tl27ABhY,spotify:playlist:53yqWl4VM0iD34tl27ABhY,Spotify,30
Skyler - Strong,08ySLuUm0jMf7lJmFwqRMu,spotify:playlist:08ySLuUm0jMf7lJmFwqRMu,Spotify,30
Hank - Gutsy,2nRUp0P50ClCxPibGSfFcL,spotify:playlist:2nRUp0P50ClCxPibGSfFcL,Spotify,30
Jesse - Street Smart,10zBfLMB5ty2Pec5LYRcgI,spotify:playlist:10zBfLMB5ty2Pec5LYRcgI,Spotify,27
Marie - Sassy,423y0vzm6cfn0Q1o3JBUDR,spotify:playlist:423y0vzm6cfn0Q1o3JBUDR,Spotify,29
Walt Jr. - Innocent,7dRuhLsXe96SgjYtPvMEcL,spotify:playlist:7dRuhLsXe96SgjYtPvMEcL,Spotify,28
Metallica: The Early Years,056jpfChuMP5D1NMMaDXRR,spotify:playlist:056jpfChuMP5D1NMMaDXRR,Spotify,30
New Wave Of British Heavy Metal,7yza99mVQaqnk4Hqs4T3kq,spotify:playlist:7yza99mVQaqnk4Hqs4T3kq,Spotify,30
Year in Metal 2014,7buHbubC96caOTOSQQJ4pl,spotify:playlist:7buHbubC96caOTOSQQJ4pl,Spotify,116
We Love Elmo!,2KSySxa7iudjK0IsgFxuaW,spotify:playlist:2KSySxa7iudjK0IsgFxuaW,Spotify,15
Lost the Game? Drown Your Sorrows,5sFZ3M4gXeYScR9VJTyBh2,spotify:playlist:5sFZ3M4gXeYScR9VJTyBh2,Spotify,23
Austin Pops,15wD5DzfOIRx7QnJKDLtav,spotify:playlist:15wD5DzfOIRx7QnJKDLtav,Spotify,62
Austin After Dark,50l7KMPuO1jMnpofYHCwV1,spotify:playlist:50l7KMPuO1jMnpofYHCwV1,Spotify,41
Punkcake,2Ky26QAfAYo2Zdlo8MqcdH,spotify:playlist:2Ky26QAfAYo2Zdlo8MqcdH,Spotify,20
The Life Eclectic,35HteeTTB5NE0hsliZ77H1,spotify:playlist:35HteeTTB5NE0hsliZ77H1,Spotify,63
Evening Serenades,2zlFpwRI7aroWy0ecv6O34,spotify:playlist:2zlFpwRI7aroWy0ecv6O34,Spotify,181
Flex & Flow,2idQpnxeioGlOsW66uaQ3U,spotify:playlist:2idQpnxeioGlOsW66uaQ3U,Spotify,23
Workday – Zen,1oDFttzXiLUJLjMyulUugY,spotify:playlist:1oDFttzXiLUJLjMyulUugY,Spotify,75
Keep it Low Key,26AgqJwDHB7p2SKJFHrtte,spotify:playlist:26AgqJwDHB7p2SKJFHrtte,Spotify,27
Classical Café,0Tn4EK4iKI58XnvWHuMMm0,spotify:playlist:0Tn4EK4iKI58XnvWHuMMm0,Spotify,59
The Grove,5H22bACwDGRsIQQyE9oy3I,spotify:playlist:5H22bACwDGRsIQQyE9oy3I,Spotify,25
Fresh Jazz | The New Vanguard,1Htq6RhM8B9MgMXdwqgPxW,spotify:playlist:1Htq6RhM8B9MgMXdwqgPxW,Spotify,45
Get Lifted,6jbGdICAmvGjlURC1gcgRe,spotify:playlist:6jbGdICAmvGjlURC1gcgRe,Spotify,30
Jazz on the Rocks,6juf9A1KL8naPZFa2YngsM,spotify:playlist:6juf9A1KL8naPZFa2YngsM,Spotify,25
#SundayFunday,5cdRxEiQmawJaraYYEF7Di,spotify:playlist:5cdRxEiQmawJaraYYEF7Di,Spotify,53
#FlashbackFriday,2dWfCGZguakRQagX7wM6Mi,spotify:playlist:2dWfCGZguakRQagX7wM6Mi,Spotify,50
Amped up.,0kVaFpvoi0O4IbyJyEZckU,spotify:playlist:0kVaFpvoi0O4IbyJyEZckU,Spotify,182
The New Standards,5ahhg3aywppGeJs8tXvZOo,spotify:playlist:5ahhg3aywppGeJs8tXvZOo,Spotify,25
Up & Out,2udwObkzQEPQWbUi95SzGM,spotify:playlist:2udwObkzQEPQWbUi95SzGM,Spotify,22
Take it Easy,3vnx7BaCl3YmHrg3WGLedp,spotify:playlist:3vnx7BaCl3YmHrg3WGLedp,Spotify,95
Britfolk,5XyoROE7WrTHtvcwFrhzO1,spotify:playlist:5XyoROE7WrTHtvcwFrhzO1,Spotify,15
Morning Rituals,7iJKTAmd5aP1opVYLB3XJ4,spotify:playlist:7iJKTAmd5aP1opVYLB3XJ4,Spotify,51
#MakeitHappen,5sty33UvgJZzeyfocoOaUV,spotify:playlist:5sty33UvgJZzeyfocoOaUV,Spotify,30
Singing in the Shower...,5LtwydYUv9Um4D2toY3Wzh,spotify:playlist:5LtwydYUv9Um4D2toY3Wzh,Spotify,41
Vintage Blues Folk,6zcjhNUkQ6taQK9hxhweCj,spotify:playlist:6zcjhNUkQ6taQK9hxhweCj,Spotify,48
Indie Ballads,0aXP5u51kHZiKvxkUPq0IL,spotify:playlist:0aXP5u51kHZiKvxkUPq0IL,Spotify,57
Barista Blend,25zEHXJzEQZU1eyF6eqEzD,spotify:playlist:25zEHXJzEQZU1eyF6eqEzD,Spotify,65
Bring Back the 2000s,5baU2nNxC8ag8XzlHNsANg,spotify:playlist:5baU2nNxC8ag8XzlHNsANg,Spotify,75
World Folk,0ByLkBLDx1AS5yXJuBTyCd,spotify:playlist:0ByLkBLDx1AS5yXJuBTyCd,Spotify,36
Indie One Stop,6OeIIMFsdtsL9VUyL6PDvX,spotify:playlist:6OeIIMFsdtsL9VUyL6PDvX,Spotify,50
Beat Down Your Morning,4qstWgP2KMRSiTY3a1fF2R,spotify:playlist:4qstWgP2KMRSiTY3a1fF2R,Spotify,22
Wicked Wives Wine Party ,2EcSH9oZNzBmGDNqoTdvBJ,spotify:playlist:2EcSH9oZNzBmGDNqoTdvBJ,Spotify,53
#Hotmess,2Rah43YvyO765e4gACIDef,spotify:playlist:2Rah43YvyO765e4gACIDef,Spotify,24
Ultimate Live Jams,5bjjHyKeiGnYdupfr3UUCW,spotify:playlist:5bjjHyKeiGnYdupfr3UUCW,Spotify,43
Stories for your Inner Child,5TQKebIP2y3YGxoklr72aV,spotify:playlist:5TQKebIP2y3YGxoklr72aV,Spotify,56
Beyond the Music,01WIu4Rst0xeZnTunWxUL7,spotify:playlist:01WIu4Rst0xeZnTunWxUL7,Spotify,65
FriendsGiving,7a80QjnKAMnZu5Lx50INeh,spotify:playlist:7a80QjnKAMnZu5Lx50INeh,Spotify,35
Bellini's Opera,1M2abQkxCwrLjzLGgKWnDP,spotify:playlist:1M2abQkxCwrLjzLGgKWnDP,Spotify,500
"Red, White, & Blue",3kt5kS8Xqjfh8olOS24HX4,spotify:playlist:3kt5kS8Xqjfh8olOS24HX4,Spotify,35
50 Songs for Snow,4sEKPcBYLcW3woDviiaigj,spotify:playlist:4sEKPcBYLcW3woDviiaigj,Spotify,50
It's a Boy!,3KP0xIq8NrTP7BV2YhpHT5,spotify:playlist:3KP0xIq8NrTP7BV2YhpHT5,Spotify,23
